post_id,text,time,comments,shares,reaction_count,like,love,care,haha,wow,sad,angry
785701286701141,"KT Rolster công bố ban huấn luyện cho mùa giải 2024 với HLV supreme (tái ký hợp đồng), HLV Museong (cựu HLV của GEN 2021 - 2023) và HLV Comet (cựu HLV T1 2019 - 2020, RNG 2023).

#LCK #LCKVietNam #WeMakeLegends",2023-12-01 11:10:16,16,4,608,591,11,0,4,1,1,0
785480716723198,"- Top 5 xạ thủ đỉnh nhất CKTG 2023
+ Top1:",2023-12-01 11:00:25,31,11,1050,839,193,6,11,0,1,0
785681313369805,"T1 cùng Faker thắng lớn tại Esports Awards với các giải thưởng:
- Esports Team Of The Year: T1.
- Esports PC Player Of The Year: Faker.
- Esports Content Of The Year: Faker.

#LCK #LCKVietNam #WeMakeLegends",2023-12-01 10:04:50,103,24,2255,1744,474,11,22,3,1,0
785370410067562,Gumayusi vác Rengar đi top đụng độ ngay Jax trong tay Morgan và cái kết,2023-12-01 07:00:25,87,13,1600,1181,8,2,404,2,3,0
785395820065021,"Effort là mảnh ghép cuối cùng của đội hình OK BRION trong năm 2024.

#LCK #LCKVietNam #WeMakeLegends",2023-11-30 20:34:13,102,2,2179,1870,13,2,285,4,5,0
785357093402227,Faker cầm Trundle đi top bị rừng team bạn camp liên tục và cái kết,2023-11-30 19:45:08,20,3,1417,1160,8,2,242,3,1,1
785304633407473,KT lúc đó kiểu: Ước gì được chọn lại,2023-11-30 18:00:24,16,6,623,525,4,0,93,1,0,0
785264243411512,Faker đọ kèo kỹ năng cùng One champ Zed thì chuyện gì sẽ xảy ra?,2023-11-30 14:41:04,36,7,1201,1165,16,1,16,2,1,0
785199893417947,"KT Rolster chào đón Ngài Beryl về với đội hình 2024 của mình. Hiện tại KT chỉ còn thiếu đường trên là sẽ hoàn thiện đội hình của mình.

#LCK #LCKVietNam #WeMakeLegends",2023-11-30 11:15:21,381,33,5634,4408,54,9,1128,24,11,0
784939833443953,Team Whales lần đầu bơi ra biển lớn và cái kết khiến mọi người phải ngước nhìn,2023-11-30 11:00:55,17,2,312,303,5,1,3,0,0,0
784906943447242,Quỷ Vương Faker phục hưng đế chế SKT T1 sau 6 năm chờ đợi,2023-11-30 07:00:23,2,9,855,756,92,1,6,0,0,0
784822470122356,Oner xóa tan mọi lời gièm pha bằng chức vô địch thế giới 2023,2023-11-29 20:10:31,77,32,4766,4162,101,2,489,7,5,0
784875430117060,"Ngoài line up khủng đã được dự đoán từ trước thì GEN cũng công bố dàn HLV cực chất:
- HLV Kim: HLV từng vô địch thế giới cùng iG, vô địch LCK cùng T1 và Longzhu.
- HLV Mata: MVP CKTG 2014 và nhiều lần vô địch LCK.
- HLV Helper: Cựu tuyển thủ và HLV SSG, từng giúp PSG thống trị giải PCS.

#LCK #LCKVietNam #WeMakeLegends",2023-11-29 19:43:31,244,15,2938,2853,28,2,37,15,3,0
784864610118142,"GEN công bố một đội hình rất đáng gờm với sự bổ sung Kiin, Canyon, tái ký với Chovy và chào đón sự trở lại của Lehends.",2023-11-29 19:18:06,820,50,6988,5844,156,7,901,65,15,0
784783816792888,Quỷ Vương Faker một tượng đài bất diệt của nền LMHT thế giới,2023-11-29 17:35:54,40,40,3296,2748,521,10,14,1,2,0
784776220126981,Quỷ Vương Faker comeback rank Hàn và màn hủy diệt TF bằng con bài Yone,2023-11-29 15:36:45,4,3,608,594,9,1,2,1,0,1
784731076798162,Morgan cầm K'sante 1 vs 5 và cái kết,2023-11-29 12:41:21,25,6,829,619,10,0,197,1,2,0
784474800157123,Biết ông ngưỡng không? Ngưỡng nào? Ngưỡng máu tử,2023-11-29 07:03:16,80,13,2906,2226,11,1,661,5,2,0
784399593497977,Quỷ Vương Faker kẻ hủy diệt LPL,2023-11-28 20:14:40,289,761,14672,11344,2365,56,890,14,3,0
784340716837198,"HLE công bố Roster 2024 với 2 nhà vô địch thế giới trong đội hình thi đấu (Zeka - Viper) và 2 nhà vô địch thế giới trong ban huấn luyện (DanDy - Mowgli).

#LCK #LCKVietNam #WeMakeLegends",2023-11-28 18:08:32,310,22,5148,4660,375,8,76,25,4,0
784301823507754,"LCK Awards - sự kiện được anh em mong chờ nhất sau khi mùa giải kết thúc sẽ diễn ra vào ngày 13.12.2023

#LCK #LCKVietNam #WeMakeLegends",2023-11-28 16:24:08,198,48,2929,2492,406,4,23,4,0,0
784261950178408,T1 đúng là ông hoàng tạo content tại LCK,2023-11-28 15:00:43,31,18,1788,1508,17,1,259,3,0,0
783975230207080,Song sát Gumayusi - Keria 10 điểm không có nhưng,2023-11-28 11:00:27,32,28,2062,1809,243,6,2,2,0,0
783928716878398,Kèo xuôi hay kèo ngược thì Quỷ Vương Faker vẫn luôn áp đảo,2023-11-28 07:01:42,46,12,1896,1669,32,3,190,1,1,0
783858630218740,"Game Moba ❌
Game đua xe bắn súng ✅",2023-11-27 20:00:37,186,172,16239,11257,50,15,4859,20,36,2
783517196919550,Oner cầm cây búa lên và cái kết đắng cho Tarzan,2023-11-27 17:30:02,11,3,686,576,5,1,102,1,1,0
783783660226237,"Tuần trước: T1 Thank You Roach đã đóng góp cho đội trong tư cách tuyển thủ và HLV. Chúc Roach gặp nhiều may mắn trong tương lai.
Tuần này: T1 thông báo tái ký với Roach và mong nhận được sự ủng hộ và quan tâm của người hâm mộ.

#LCK #LCKVietNam #WeMakeLegends",2023-11-27 14:20:33,48,14,3642,2193,59,5,1373,5,7,0
783777406893529,"Morgan đúng là best Renekton combo và tính damage ác quá

Morgan is the best Renekton combo and damage is so evil",2023-11-27 13:59:43,112,15,3110,2599,42,7,447,11,4,0
783530900251513,"Ở đâu có việc khó, đã có Gumayusi lo

Where there is difficulty, there is Gumayusi",2023-11-27 11:00:37,50,31,4657,4362,258,7,21,5,3,1
783480116923258,Đây là lý do Jarvan trong tay Oner có tỷ lệ thắng lên đến 80% tại CKTG 2023,2023-11-27 07:00:34,36,9,3144,2829,284,12,16,0,2,1
783399096931360,"Chưa đầy 1 tuần sau khi hợp đồng cũ hết hạn, các đội tuyển tại LCK đã hoàn thiện đội hình cho mùa giải 2024 dự kiến sẽ bắt đầu giữa tháng 1.

#LCK #LCKVietNam #WeMakeLegends",2023-11-26 18:31:20,838,77,7965,6864,989,25,60,18,9,0
783051663632770,Đây là lý do Bard trong tay Keria có tỷ lệ thắng 100% tại CKTG 2023,2023-11-26 07:00:12,174,24,3654,2984,455,14,194,4,3,0
